127.0.0.1 - - [03/Jan/2024:12:46:33 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:46:35 +0530] "GET /FirstProgram/login.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:46:36 +0530] "GET /FirstProgram/images/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:49:38 +0530] "GET /FirstProgram/product.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:50:55 +0530] "GET /FirstProgram/product.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:51:20 +0530] "GET /FirstProgram/product.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:07 +0530] "GET /FirstProgram/product.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:16 +0530] "GET /FirstProgram/product.html HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:32 +0530] "GET /FirstProgram/product.html HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:40 +0530] "GET /FirstProgram/product.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:46 +0530] "GET /FirstProgram/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:48 +0530] "GET /FirstProgram/product.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:52:50 +0530] "GET /FirstProgram/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:54:16 +0530] "GET /FirstProgram/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:54:18 +0530] "GET /FirstProgram/register.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:54:47 +0530] "GET /FirstProgram/register.html HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:54:58 +0530] "GET /FirstProgram/register.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [03/Jan/2024:12:55:16 +0530] "GET /FirstProgram/register.html HTTP/1.1" 200 740
